Target Text: The Spanish Constitution is The Best Thing About This Photo: A photo of the Constitutional Court in Spain, where judges and lawyers sit at tables adorned with red flags and gold accents against an ornate backdrop featuring marble columns and chandeliers.

Step   0 | Token 0: GT: 'The' | Pred: ' Spanish'
Step   0 | Token 1: GT: ' Spanish' | Pred: ' Constitutional'
Step   0 | Token 2: GT: ' Constitution' | Pred: ' has'
Step   0 | Token 3: GT: ' is' | Pred: ' being'
Step   0 | Token 4: GT: ' The' | Pred: ' Spanish'
Step   0 | Token 5: GT: ' Best' | Pred: ' in'
Step   0 | Token 6: GT: ' Thing' | Pred: ' About'
Step   0 | Token 7: GT: ' About' | Pred: ' Spain'
Step   0 | Token 8: GT: ' This' | Pred: ' Country'
Step   0 | Token 9: GT: ' Photo' | Pred: '<|im_end|>'
Step   0 | Token 10: GT: ':' | Pred: ' A'
Step   0 | Token 11: GT: ' A' | Pred: ' Look'
Step   0 | Token 12: GT: ' photo' | Pred: ' of'
Step   0 | Token 13: GT: ' of' | Pred: ' the'
Step   0 | Token 14: GT: ' the' | Pred: ' Spanish'
Step   0 | Token 15: GT: ' Constitutional' | Pred: ' Court'
Step   0 | Token 16: GT: ' Court' | Pred: ' of'
Step   0 | Token 17: GT: ' in' | Pred: ' Spain'
Step   0 | Token 18: GT: ' Spain' | Pred: ' shows'
Step   0 | Token 19: GT: ',' | Pred: ' taken'
Step   0 | Token 20: GT: ' where' | Pred: ' the'
Step   0 | Token 21: GT: ' judges' | Pred: ' and'
Step   0 | Token 22: GT: ' and' | Pred: ' lawyers'
Step   0 | Token 23: GT: ' lawyers' | Pred: ' sit'
Step   0 | Token 24: GT: ' sit' | Pred: ' in'
Step   0 | Token 25: GT: ' at' | Pred: ' a'
Step   0 | Token 26: GT: ' tables' | Pred: ' in'
Step   0 | Token 27: GT: ' adorned' | Pred: ' with'
Step   0 | Token 28: GT: ' with' | Pred: ' red'
Step   0 | Token 29: GT: ' red' | Pred: ' and'
Step   0 | Token 30: GT: ' flags' | Pred: ' and'
Step   0 | Token 31: GT: ' and' | Pred: ' gold'
Step   0 | Token 32: GT: ' gold' | Pred: ' accents'
Step   0 | Token 33: GT: ' accents' | Pred: '.'
Step   0 | Token 34: GT: ' against' | Pred: ' a'
Step   0 | Token 35: GT: ' an' | Pred: ' orn'
Step   0 | Token 36: GT: ' orn' | Pred: 'ate'
Step   0 | Token 37: GT: 'ate' | Pred: ' backdrop'
Step   0 | Token 38: GT: ' backdrop' | Pred: ' of'
Step   0 | Token 39: GT: ' featuring' | Pred: ' a'
Step   0 | Token 40: GT: ' marble' | Pred: ' columns'
Step   0 | Token 41: GT: ' columns' | Pred: ' and'
Step   0 | Token 42: GT: ' and' | Pred: ' a'
Step   0 | Token 43: GT: ' ch' | Pred: 'andel'
Step   0 | Token 44: GT: 'andel' | Pred: 'iers'
Step   0 | Token 45: GT: 'iers' | Pred: '.'
Step   0 | Token 46: GT: '.' | Pred: '<|im_end|>'
Step  50 | Token 0: GT: 'The' | Pred: ' Spanish'
